Resource Name,Organization,Description,PhoneNumber,Website,City,Address,Hours,ResourceType,Language,Offers Transportation,Serving,Has Requirement,Requirements,Date updated
Senior Emergency Pantry,Silver Key Senior Services,Silver Key assists seniors who do not qualify for government food assistance in an emergency situation with donations of food and necessities from the community.,(719)-884-2300,https://www.silverkey.org/services/senior-assistance/food-pantry/,Colorado Springs,"1605 S. Murray Blvd. Colorado Springs, CO 80916",Mon-Fri: 9am-4pm,Food,English,,Seniors,Yes,Must Request Referel ,11/30/2023
Commodity Supplemental Food Program,Silver Key Senior Services,"These food boxes allow seniors to stretch their food dollars further by supplementing their diets with a variety of foods, such as: nonfat dry and ultra-high temperature fluid milk, juice, farina, oats, ready-to-eat cereal, rice, pasta, peanut butter, dry beans, canned meat or poultry or fish, and canned fruits and vegetables.",(719-884-2300,https://www.silverkey.org/services/senior-assistance/food-pantry/,Colorado Springs,"Colorado Springs, CO 80916",,Food,English,,Seniors,Yes,"Must be 60 years or older, Must apply in person, Must have documentation of Residence and Income",11/30/2023
Emergency Food Assistance Program,Silver Key Senior Services,"These food supplies allow seniors to stretch their food dollars further by supplementing their diets with a variety of foods, such as: nonfat dry milk, rice, peanut butter, cereal, pasta, beans, canned fruits and vegetables, canned meat, dried fruit and a variety of other foods. These items vary and are on a “first come, first serve basis” until items run out.",(719-884-2300,https://www.silverkey.org/services/senior-assistance/food-pantry/,Colorado Springs,,,Food,English,,Seniors,Yes,"Must have identification, Must have proof of residence, Cannot be combined with any other community program",11/30/2023
Financial Assistance for Military Families,American Red Cross,"The American Red Cross works in partnership with Military Aid Societies to provide quality, reliable financial assistance to eligible applicants 24/7/365. Assistance can include funds for emergency travel, burial of a loved one, emergency food and shelter, etc. The Aid Societies determine the financial assistance package that will be offered – a grant or a loan. The Red Cross is the mechanism to expedite access to these financial resources.",(877)-272-7337,https://www.redcross.org/get-help/military-families/financial-assistance.html,,,"Avalible anytime online, through app, or through toll-free number","Food, Housing, Travel",English,,Military,Yes,Must be active or previous service member or immediate family member of the above,11/30/2023
Emergency Food Supply,Goos Shepherd United Methodist Church,"For those who truly do not have enough food to last approximately three days, emergency food is available during this time. ",(719)-392-5782,https://www.gsumc-cs.org/pantry/default.htm,Colorado Springs,"1201 Leta Drive Colorado Springs, CO 80912",Wed-Thurs: 10am-12pm,Food,English,No,Everyone,No,,11/30/2023
Coordinated Entry,Community Health Partnership,"CE provides timely access to appropriate housing programs through a centralized, equitable, person-centered process that preserves choice, dignity, and transparency.",(719)-632-5094,https://www.ppchp.org/homelessness/coordinated-entry-ce/,Colorado Springs,"121 South Tejon Street, Suite 601 Colorado Springs, CO 80903",,Housing,English,No,"Everyone, Veterans, Youth",Yes,Must complete VI-SPDAT with provider,11/30/2023
Housing Information and Vouchers,The Independence Center,"The Independence Center supports access to housing through Colorado’s Division of Housing and Veterans Administration-funded housing voucher programs.  Through the training and resources that these vouchers offer, our Housing Coordinators can support you in your search for affordable, accessible housing, an essential component of independent living.",(719)-471-8181,https://www.theindependencecenter.org/independent-living/additional-services/housing-information/,Colorado Springs,"729 S. Tejon St., Colorado Springs, CO 80903","Mon-Thurs: 8am-4:30pm, Fri: 8am-12pm",Housing,English,No,"Veterans, Disabilities",Yes,Must be disabled or have a disabled loved one,11/30/2023
Deaf & Hard of Hearing Resources,The Independence Center,"The Independence Center’s (The IC) Deaf & Hard of Hearing program is designed to enhance the lives of individuals with hearing loss, encouraging you to live the independent life you choose for yourself through a variety of means. This program also provides assistance with the following via Direct Communication:",(719)-471-8181,https://www.theindependencecenter.org/independent-living/additional-services/deaf-and-hard-of-hearing-services/,Colorado Springs,"729 S. Tejon St., Colorado Springs, CO 80903","Mon-Thurs: 8am-4:30pm, Fri: 8am-12pm","Legal, Accessibility","English, ASL",No,"Disabilities, Deaf",Yes,Must be deaf or hard of hearing,11/30/2023
Disability Picture ID Bus Card,The Independence Center,Receive a reduced rate with Mountain Metro Transit with a Disability Picture ID Bus Card! The IC is the only issuing agency working with the City of Colorado Springs Transit Services for this card.,(719)-471-8181,https://www.theindependencecenter.org/independent-living/additional-services/disability-picture-id-bus-card/,Colorado Springs,"729 S. Tejon St., Colorado Springs, CO 80903","Mon-Thurs: 8am-4:30pm, Fri: 8am-12pm",Transportation,English,,Disabilities,Yes,Must bring state ID and proff of disability,11/30/2023
HIV Case Management,Colorado Health Network Inc,Navigating the health care system can be overwhelming. Medical Case Managers are trained to assist those living with HIV to understand how to best manage their healthcare! Our specialist team of HIV Medical Case Managers will partner with you to develop a comprehensive care plan that addresses your specific concerns.,(719)-578-9092,https://coloradohealthnetwork.org/support-services/medical-case-management/,Colorado Springs,"1301 South 8th Street, Suite 200, Colorado Springs, CO 80905",,Healthcare,"English, Spanish",Yes,HIV Positive,Yes,Must present proof of HIV diagnosis,11/30/2023
